PCM-SEM MCMC 진단 리포트
N=86, scenario=medium, elapsed=57.8s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s    R_hat
theta[26,3]        -1.248250  0.004791   0.449772   0.451556    -2.008020    -1.237660    -0.544274   9829.480  2415.470    83.63810  1.002490
theta[27,1]        -0.364492  0.005207   0.488354   0.476937    -1.176370    -0.365898     0.443860   9104.300  2914.630    77.46760  1.001270
theta[27,2]         0.010108  0.003193   0.327755   0.319649    -0.533718     0.013402     0.549071  10767.300  2964.240    91.61780  1.000320
theta[27,3]        -0.316478  0.004476   0.386496   0.384654    -0.934030    -0.318768     0.320835   7773.530  3050.570    66.14420  1.000790
theta[28,1]        -0.933231  0.004917   0.448417   0.456026    -1.667930    -0.930095    -0.206862   8399.540  2669.100    71.47080  1.000900
theta[28,2]         0.523952  0.003337   0.322199   0.323747    -0.019896     0.522770     1.058190   9863.900  3153.380    83.93100  1.000300
theta[28,3]        -2.312650  0.006465   0.587135   0.586171    -3.318390    -2.282130    -1.404130   9859.800  2611.440    83.89610  1.000150
theta[29,1]         0.068295  0.005288   0.484917   0.482765    -0.707134     0.068077     0.887888   8532.980  2862.300    72.60630  1.001540
theta[29,2]        -1.487670  0.004188   0.365085   0.370501    -2.093850    -1.477040    -0.893209   7936.910  2819.520    67.53440  1.001030
theta[29,3]        -2.066230  0.005444   0.552505   0.529670    -3.008780    -2.029850    -1.207260  11142.900  2668.430    94.81400  1.002860
theta[30,1]         0.148737  0.005234   0.506967   0.501393    -0.651506     0.134749     0.985756   9680.700  3109.480    82.37210  1.002830
theta[30,2]        -1.452570  0.003766   0.366008   0.370623    -2.063290    -1.444740    -0.859036   9898.740  2949.070    84.22740  1.000540
theta[30,3]        -0.990615  0.004187   0.415931   0.418780    -1.693110    -0.982923    -0.312933  10078.700  3025.760    85.75850  0.999936
theta[31,1]        -1.163220  0.005134   0.464715   0.462762    -1.914500    -1.161140    -0.400690   8487.780  3117.470    72.22170  1.000160
theta[31,2]        -1.792040  0.004400   0.391985   0.388374    -2.461590    -1.785580    -1.162420   8288.540  2875.790    70.52630  0.999764
theta[31,3]        -0.739676  0.004328   0.415480   0.408322    -1.440670    -0.732065    -0.079700   9416.370  2558.210    80.12290  1.002160
theta[32,1]        -1.677870  0.005356   0.480301   0.480617    -2.478290    -1.676130    -0.904959   8401.090  2869.360    71.48410  1.002480
