N,scenario,beta1,beta2,gamma1,b1_comp,b1_comp_lo,b1_comp_hi,b2_comp,b2_comp_lo,b2_comp_hi,g1_comp,g1_comp_lo,g1_comp_hi,ind_comp,ind_comp_lo,ind_comp_hi,tot_comp,b1_oracle,b1_oracle_lo,b1_oracle_hi,b2_oracle,b2_oracle_lo,b2_oracle_hi,g1_oracle,g1_oracle_lo,g1_oracle_hi,ind_oracle,ind_oracle_lo,ind_oracle_hi,tot_oracle,b1_comp_cov,b1_comp_sig,b1_oracle_cov,b1_oracle_sig,b2_comp_cov,b2_comp_sig,b2_oracle_cov,b2_oracle_sig,g1_comp_cov,g1_comp_sig,g1_oracle_cov,g1_oracle_sig,ind_comp_cov,ind_comp_sig,ind_oracle_cov,ind_oracle_sig
50,small,0.3,0.3,0.0,0.35229429041320615,0.13708218034080716,0.5675064004856052,0.11093911023205827,-0.231624252431192,0.45350247289530854,0.0762589246663481,-0.2084536430993736,0.3609714924320698,0.03908321511827543,-0.0839389426781279,0.16210537291467875,0.11534213978462352,0.5353830305727364,0.28202271450229544,0.7887433466431774,0.04066294762888362,-0.316733653307205,0.3980595485649722,0.10543570062676869,-0.2646008655431986,0.47547226679673593,0.021770252133572178,-0.1698509735682654,0.21339147783540974,0.12720595276034086,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.061391141355283965,-0.1931489588038045,0.3159312415143724,0.26141810900091356,-0.09350370713575612,0.6163399251375832,-0.0556722433079635,-0.37241869855019766,0.26107421193427066,0.016048756082506117,-0.05396923972619796,0.08606675189121019,-0.03962348722545738,0.4039640217411806,0.09756658698484033,0.7103614564975209,0.29285437861729735,-0.11137412725716267,0.6970828844917574,0.039314234863066844,-0.42365588436561813,0.5022843540917519,0.11830263257075785,-0.0680204704973382,0.30462573563885387,0.1576168674338247,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0
50,small,0.3,0.3,0.0,0.32407050460141723,0.06876668167068883,0.5793743275321457,0.34158863463813116,-0.00373994665188504,0.6869172159281474,0.1430544757241421,-0.18500149311057085,0.47111044455885503,0.11069880119328832,-0.031179380200036744,0.2525769825866134,0.25375327691743044,0.5234335162958377,0.26379531482560886,0.7830717177660664,0.34596591334226423,0.03575412560665353,0.6561777010778749,0.0036686552614526025,-0.32149689410625065,0.32883420462915586,0.18109015453924243,-0.004474996362057865,0.3666553054405427,0.18475880980069503,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.20969909336781045,-0.023737883383176367,0.4431360701187973,0.30096053255544675,0.03623809983413001,0.5656829652767634,0.03257568402234767,-0.19058789529450235,0.2557392633391977,0.06311115081637059,-0.026428771558058187,0.15265107319079935,0.09568683483871826,0.24354822872131415,0.022897183048040864,0.4641992743945874,0.33994927978671147,0.110996445009971,0.568902114563452,-0.003600513395737165,-0.18889320698851764,0.1816921801970433,0.08279404494714002,-0.010671564939691902,0.17625965483397193,0.07919353155140285,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.2965060965926416,0.01980794014093279,0.5732042530443504,0.44545794527661675,0.2017902511824158,0.6891256393708177,-0.02928759302113093,-0.27593551009644024,0.21736032405417835,0.13208099655014818,-0.010790611914320403,0.27495260501461677,0.10279340352901725,0.24762154133188125,0.015123380272510895,0.48011970239125157,0.41499792397836094,0.16477373685980035,0.6652221110969215,-0.02874249077832107,-0.2414560662450972,0.18397108468845508,0.10276242558505261,-0.011905574463171906,0.21743042563327714,0.07401993480673154,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.210732059212027,-0.05840360387965207,0.4798677223037061,0.28740072981224873,-0.031019748726830332,0.6058212083513278,0.07964241179999476,-0.22753034860727,0.38681517220725953,0.06056454761237458,-0.0418346110556813,0.16296370628043044,0.14020695941236933,0.3526913962194924,0.08277748387320494,0.6226053085657799,0.3705492622058111,0.06392826627991804,0.6771702581317041,-0.08553064412698458,-0.39455176089142263,0.22349047263745347,0.1306895366554703,-0.016613211598493438,0.27799228490943406,0.04515889252848573,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.09479425638310825,-0.17835930785955312,0.3679478206257696,0.17495047323971646,-0.075798018188096,0.42569896466752893,0.04199252574530554,-0.19875684949993758,0.28274190099054863,0.016584300014631802,-0.03678906298283256,0.06995766301209616,0.05857682575993735,0.2657166485962899,-0.05449803467789677,0.5859313318704766,0.29071609895914385,0.039959804108039454,0.5414723938102483,0.02252465143115283,-0.2661282176909702,0.3111775205532759,0.07724810750841107,-0.037231639170648825,0.19172785418747096,0.0997727589395639,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0
50,small,0.3,0.3,0.0,0.1826576825361732,-0.04322107315782564,0.40853643823017205,0.09245862890748935,-0.20875999771680248,0.3936772555317812,0.12940576728582798,-0.11485674591897826,0.3736682804906342,0.016888278886714035,-0.04196194475303557,0.07573850252646364,0.14629404617254202,0.18316583992695917,-0.05725017652502101,0.42358185637893936,0.13760315604399642,-0.16629674058774674,0.4415030526757396,0.08696959786789761,-0.1745788239619681,0.3485180196977633,0.025204197653399034,-0.0395484754966044,0.08995687080340248,0.11217379552129664,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
50,small,0.3,0.3,0.0,0.24191769448548872,0.020002555353878432,0.46383283361709904,0.3888532590825422,0.06256245018350848,0.7151440679815759,-0.15295333717776138,-0.41823953894153826,0.11233286458601549,0.09407048393041703,-0.022879073489037144,0.2110200413498712,-0.05888285324734435,0.284473085699801,0.03191023569090412,0.5370359357086979,0.4036510753072719,0.13928016506215074,0.668021985552393,-0.09183272366915977,-0.3371908950744925,0.15352544773617294,0.1148278669387024,-0.011857763414941908,0.2415134972923467,0.02299514326954262,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.22082436355736218,-0.07989059018950612,0.5215393173042304,0.2889971775067459,-0.014103472211087598,0.5920978272245794,0.10269742674336868,-0.22306479822905173,0.4284596517157891,0.06381761779280119,-0.0458751671184192,0.17351040270402157,0.1665150445361699,0.2969167743261488,-0.019612664523252554,0.6134462131755503,0.2368489023962962,-0.025891054085198206,0.4995888588777906,0.13521076808170301,-0.16596114847066634,0.43638268463407237,0.07032441210219713,-0.037871267316265014,0.17852009152065929,0.20553518018390016,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
